cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M1-6,pgbouncer,select-only,100,10,simple,True,60,7,measured,379.393287,342.955405,380.75469,0.043315976062510024,131.564,234.69620000000003,263.80076,283.1602340000002
M1-6,pgcat,select-only,100,10,simple,True,60,7,measured,4158.101036,4129.122654,6529.473378,0.2245429513003368,11.978,20.636,25.102480000000014,27.16173999999993
M1-6,pgpool,select-only,100,10,simple,True,60,7,measured,208.367252,207.594724,218.258179,0.022318183805687553,236.89249999999998,446.85800000000006,522.42956,566.6325039999973
M1-7,direct,tpcb-like,100,10,simple,False,60,7,measured,3361.911046,3161.271067,4309.709043,0.1401612347724368,16.673,68.01800000000009,178.65604000000002,315.97463999999854
M1-7,odyssey,tpcb-like,100,10,simple,False,60,7,measured,3168.104404,2823.777196,3631.858808,0.10651939674628981,31.104,33.929,39.09258999999997,111.95850400000002
M1-7,pgagroal,tpcb-like,100,10,simple,False,60,7,measured,321.858309,102.863448,607.950076,0.6360438411326385,14.541,44.618200000000016,189.32612000000094,59010.652056
M1-7,pgbouncer,tpcb-like,100,10,simple,False,60,7,measured,2927.498759,2628.735393,3374.351108,0.10060944817344503,33.934,37.064,43.68512,108.86355599999881
M1-7,pgcat,tpcb-like,100,10,simple,False,60,7,measured,2988.334932,2648.337492,3413.907568,0.10633052839417731,33.175,35.449,40.16679999999999,108.1782640000023
M1-7,pgpool,tpcb-like,100,10,simple,False,60,7,measured,2513.157954,2351.447685,3181.84693,0.14081648921302445,21.914,91.56380000000001,243.14403999999982,433.11447999999496
M2-I1,direct,select-only,100,10,simple,False,60,7,measured,52270.630775,50676.98241,55555.525792,0.03872044100327252,1.782,2.547,8.664,14.929
M2-I1,pgagroal,select-only,100,10,simple,False,60,7,measured,8475.193904,6269.859975,9975.690293,0.17257003660402448,0.639,2.216,4.052,18.851689999999945
M2-I10,direct,tpcb-like,50,10,simple,False,60,7,measured,3618.024062,2662.675758,4127.892286,0.17253690882058578,6.3,29.373,119.79383999999939,314.1220399999998
M2-I10,odyssey,tpcb-like,50,10,simple,False,60,7,measured,2484.590771,2126.641484,3047.572763,0.14524638646504573,11.215,31.316,164.23700000000002,289.7741499999996
M2-I11,direct,select-only,100,10,simple,False,60,7,measured,24302.565188,24228.75174,24653.233119,0.006401431769516921,4.004,5.116,18.842,26.755
M2-I11,pgcat,select-only,100,10,simple,False,60,7,measured,16344.20162,16105.925708,16630.238408,0.012342097096672998,6.144,6.837,7.385,8.005
M2-I12,direct,tpcb-like,50,10,simple,False,60,7,measured,3836.828428,3813.485997,3850.019065,0.0032027443941221884,9.942,24.334,54.536539999999974,94.8373280000003
M2-I12,pgcat,tpcb-like,50,10,simple,False,60,7,measured,2861.942948,2835.742831,2925.366363,0.010747651496026077,17.293,18.664,20.734,34.89586400000006
M2-I13,direct,select-only,100,10,simple,False,60,7,measured,24683.628367,24470.380346,24842.354514,0.00494610886638472,3.841,5.032,19.231939999999945,27.4225700000003
M2-I13,pgpool,select-only,100,10,simple,False,60,7,measured,16735.10913,16045.099565,17650.575176,0.03009572170726106,5.313,10.079,22.917,34.37224999999977
